date,cera20c,ncep,cera20c_spread,ncep_spread,wegener,station
1930-04-20,-13.4585227894737,-5.4481364235726595,1.8496118839351174,1.8496118839351174,,AT_Weststation
1930-04-21,-13.404687371812438,-6.303435488378441,2.257688650788498,2.257688650788498,,AT_Weststation
1930-04-22,-15.257657388835037,-5.827641937248599,2.2422743807793184,2.2422743807793184,,AT_Weststation
1930-04-23,-16.35598316211856,-7.1267605836678865,2.3387478530388686,2.3387478530388686,,AT_Weststation
1930-04-24,-17.102279737346173,-8.644654518686485,2.1076328204909256,2.1076328204909256,,AT_Weststation
1930-04-25,-17.820350375953254,-8.718012148970754,3.294477332997447,3.294477332997447,,AT_Weststation
1930-04-26,-15.149619704921486,-5.707317961060469,1.5547810979665577,1.5547810979665577,,AT_Weststation
1930-04-27,-13.485931874673758,-2.7499338679574388,0.8766227726029848,0.8766227726029848,,AT_Weststation
1930-04-28,-12.806024939478252,-4.2878084073902425,1.455303856356814,1.455303856356814,,AT_Weststation
1930-04-29,-14.257011895839124,-6.647528682413956,2.052652716838208,2.052652716838208,,AT_Weststation
1930-04-30,-14.057195411866818,-6.7230798442764685,1.1507777089151514,1.1507777089151514,,AT_Weststation
1930-05-01,-13.82903357986456,-3.900088751095482,1.2057744583181056,1.2057744583181056,,AT_Weststation
1930-05-02,-11.353811232710092,-1.5977820610733406,1.9892130365536007,1.9892130365536007,,AT_Weststation
1930-05-03,-10.154822945220776,-1.408698258358621,1.3313483103196078,1.3313483103196078,,AT_Weststation
1930-05-04,-8.622132772516846,-1.5884043319941705,1.3390337137655879,1.3390337137655879,,AT_Weststation
1930-05-05,-8.690436113838661,-1.325495014019995,1.2657890381440215,1.2657890381440215,,AT_Weststation
1930-05-06,-8.765993957774276,0.04302894465920226,1.0863330537979081,1.0863330537979081,,AT_Weststation
1930-05-07,-7.6482906906129555,0.6056919170048527,2.237919480317445,2.237919480317445,,AT_Weststation
1930-05-08,-6.153163500941048,-0.061453452131697395,2.1321671219167495,2.1321671219167495,,AT_Weststation
1930-05-09,-5.6266898646900385,-3.5716191097434495,3.161859961482276,3.161859961482276,,AT_Weststation
1930-05-10,-6.395155763273749,-6.411412675232169,2.4951747444447396,2.4951747444447396,,AT_Weststation
1930-05-11,-7.483387144455119,-5.456787919523347,2.638168954687863,2.638168954687863,,AT_Weststation
1930-05-12,-7.189513387907743,-3.6181374502308024,2.6805680465295483,2.6805680465295483,,AT_Weststation
1930-05-13,-6.496293656324218,-3.375187692648839,2.1749580545069906,2.1749580545069906,,AT_Weststation
1930-05-14,-6.623774569830687,-3.4038171795174947,1.7613001411401243,1.7613001411401243,,AT_Weststation
1930-05-15,-7.126776196171429,-3.374582130435069,1.5858429796794242,1.5858429796794242,,AT_Weststation
1930-05-16,-7.395601382344114,-4.0423495763456945,1.3488360149357095,1.3488360149357095,,AT_Weststation
1930-05-17,-7.984614772559371,-4.718917870028545,0.9472659724597866,0.9472659724597866,,AT_Weststation
1930-05-18,-8.227249063580285,-5.211547757488536,1.066406348507244,1.066406348507244,,AT_Weststation
1930-05-19,-8.551310056132374,-5.2130638506953275,0.9165610527439119,0.9165610527439119,,AT_Weststation
1930-05-20,-8.585896884115154,-6.49324422573739,0.9408673796931726,0.9408673796931726,,AT_Weststation
1930-05-21,-8.89300987273244,-10.476184186424645,1.6137658647708781,1.6137658647708781,,AT_Weststation
1930-05-22,-8.737545030959023,-8.58713723017127,2.383386553796133,2.383386553796133,,AT_Weststation
1930-05-23,-8.174839295417309,-5.38317182986607,2.673293634259428,2.673293634259428,,AT_Weststation
1930-05-24,-6.454994223033137,-1.0683087199078733,2.764656426977244,2.764656426977244,,AT_Weststation
1930-05-25,-7.772640658791739,-3.9544729231270956,2.8086292028352338,2.8086292028352338,,AT_Weststation
1930-05-26,-10.243585536570867,-6.898762332241018,2.438946388789812,2.438946388789812,,AT_Weststation
1930-05-27,-12.00368264723269,-6.4198730787267655,2.0698675080161375,2.0698675080161375,,AT_Weststation
1930-05-28,-11.6613724472063,-5.108796572065121,1.9877529864695425,1.9877529864695425,,AT_Weststation
1930-05-29,-9.234010150053063,-2.5619238192914,2.135758205743001,2.135758205743001,,AT_Weststation
1930-05-30,-6.954337111876649,-1.5142920663176112,2.5063281902065095,2.5063281902065095,,AT_Weststation
1930-05-31,-5.99306150957007,-0.2395952705514327,1.6749073972454755,1.6749073972454755,,AT_Weststation
1930-06-01,-5.723492771113376,0.8332575208249806,1.469637565290227,1.469637565290227,,AT_Weststation
1930-06-02,-5.465343471301362,0.22813013412926902,0.94837746407792,0.94837746407792,,AT_Weststation
1930-06-03,-4.180774766639972,-0.2900973241416529,0.9098658064122471,0.9098658064122471,,AT_Weststation
1930-06-04,-4.4007709334626215,-0.10220838975920404,0.6662062196959218,0.6662062196959218,,AT_Weststation
1930-06-05,-4.524092550249179,0.1050381886703039,0.7978640306934339,0.7978640306934339,,AT_Weststation
1930-06-06,-4.9456956800068825,-0.2522751223479146,0.8239832050183686,0.8239832050183686,,AT_Weststation
1930-06-07,-5.323110200517811,-1.090316371898975,0.8377600797238237,0.8377600797238237,,AT_Weststation
1930-06-08,-5.797454018871757,-1.9383736484424685,0.942365906023793,0.942365906023793,,AT_Weststation
1930-06-09,-6.014466918401447,-1.5679144268489211,1.199718966862918,1.199718966862918,,AT_Weststation
1930-06-10,-5.6409942703389815,-0.3468855772347923,1.3389660186097396,1.3389660186097396,,AT_Weststation
1930-06-11,-5.064171178116551,-0.30446241118525186,1.42259278492805,1.42259278492805,,AT_Weststation
1930-06-12,-5.36307326006371,-0.7791424254112049,1.0537414646511303,1.0537414646511303,,AT_Weststation
1930-06-13,-5.067743328946284,-0.25267653505813437,0.915618496005807,0.915618496005807,,AT_Weststation
1930-06-14,-5.2273394661031345,0.22577986479809808,1.2200236653188954,1.2200236653188954,,AT_Weststation
1930-06-15,-4.072951335022879,2.193655358007619,1.7941447827855777,1.7941447827855777,,AT_Weststation
1930-06-16,-2.1235364282943676,2.5871831440102198,1.8662654879725404,1.8662654879725404,,AT_Weststation
1930-06-17,-1.286062199294324,1.517281052955235,1.4428128843319006,1.4428128843319006,,AT_Weststation
1930-06-18,-1.9430090873292616,0.37162961697907865,1.731892939100271,1.731892939100271,,AT_Weststation
1930-06-19,-1.6981607770386724,2.3976307499448435,1.2520787828484998,1.2520787828484998,,AT_Weststation
1930-06-20,-1.5050217788499896,3.8303661944069383,1.5000732191282178,1.5000732191282178,,AT_Weststation
1930-06-21,-1.0199212463584701,5.024940642529102,1.672166099950748,1.672166099950748,,AT_Weststation
1930-06-22,-0.5041523058023065,3.7752636812477682,2.0878434236583665,2.0878434236583665,,AT_Weststation
1930-06-23,-0.22671398667652917,3.9558089005179107,1.6668781257001821,1.6668781257001821,,AT_Weststation
1930-06-24,0.16110788417396488,1.931009894866729,1.7775624551760794,1.7775624551760794,,AT_Weststation
1930-06-25,0.03442679227332799,0.9635453619769319,1.4431527047289199,1.4431527047289199,,AT_Weststation
1930-06-26,0.13735585642805875,2.642615723439968,1.4598217946306837,1.4598217946306837,,AT_Weststation
1930-06-27,0.7216021399647107,5.086628494054954,1.4313026156030537,1.4313026156030537,,AT_Weststation
1930-06-28,1.1537449346326702,4.885546349318898,1.336482165690145,1.336482165690145,,AT_Weststation
1930-06-29,1.3203587496461677,4.838080480832017,0.7440386617561675,0.7440386617561675,,AT_Weststation
1930-06-30,1.9979184166338897,4.244129215262655,1.3742598950230744,1.3742598950230744,,AT_Weststation
1930-07-01,2.105473195189788,3.561392902134673,1.66736025490269,1.66736025490269,,AT_Weststation
1930-07-02,1.6474092121079267,3.252819406764496,1.437105903449729,1.437105903449729,,AT_Weststation
1930-07-03,0.5100911301242776,2.3579836309744584,1.3192795846965648,1.3192795846965648,,AT_Weststation
1930-07-04,-1.037605680323849,0.801734974008311,0.9799299309483842,0.9799299309483842,,AT_Weststation
1930-07-05,-1.6005162635018126,-0.37899986848439404,0.6451318368546408,0.6451318368546408,,AT_Weststation
1930-07-06,-1.685032189285709,-0.4817099265369438,0.8047154283411678,0.8047154283411678,,AT_Weststation
1930-07-07,-2.1669599147368244,-1.6660155813533235,0.9033814165908776,0.9033814165908776,,AT_Weststation
1930-07-08,-2.208014388627552,-0.925270930933499,0.9652158972662079,0.9652158972662079,,AT_Weststation
1930-07-09,-2.4699111288741316,0.779503863692002,0.8356786729460367,0.8356786729460367,,AT_Weststation
1930-07-10,-1.432092911095948,1.7256203912602048,1.34883416376466,1.34883416376466,,AT_Weststation
1930-07-11,-0.7400568428082565,1.9470524894868004,1.7951079375807966,1.7951079375807966,,AT_Weststation
1930-07-12,-0.9452776621698892,2.806420116323997,1.8842836117836015,1.8842836117836015,,AT_Weststation
1930-07-13,-0.6149107085053431,4.162612195535411,1.9207447351325075,1.9207447351325075,,AT_Weststation
1930-07-14,-0.20088964227514827,5.139142970588303,1.4284979675659246,1.4284979675659246,,AT_Weststation
1930-07-15,0.2624088461897558,5.57958689145353,1.2126093851660515,1.2126093851660515,,AT_Weststation
1930-07-16,0.8782216357974368,5.796530087019638,1.2686261470936042,1.2686261470936042,,AT_Weststation
1930-07-17,1.4911656981949637,5.865562158354143,1.0579050923308815,1.0579050923308815,,AT_Weststation
1930-07-18,1.3988412893812783,6.017263250791196,1.2987150515937858,1.2987150515937858,,AT_Weststation
1930-07-19,1.3336534554266737,5.889320749966563,1.009346472214219,1.009346472214219,,AT_Weststation
1930-07-20,1.0480110279205792,5.974182607420321,0.8470918573668609,0.8470918573668609,,AT_Weststation
1930-07-21,1.19052028414453,6.237765513447187,1.1785973828744079,1.1785973828744079,,AT_Weststation
1930-07-22,0.36308727071692876,6.756931555438024,0.8885708315646821,0.8885708315646821,,AT_Weststation
1930-07-23,0.5140820827803271,6.2030298197873766,1.2695340457198916,1.2695340457198916,,AT_Weststation
1930-07-24,0.5075577590466008,6.735081029339357,1.1095780664559511,1.1095780664559511,,AT_Weststation
1930-07-25,0.3728093096500385,5.547885735310653,1.0911888908908458,1.0911888908908458,,AT_Weststation
1930-07-26,0.3919134071452986,4.607406936544932,1.5928571924600217,1.5928571924600217,,AT_Weststation
1930-07-27,-0.2745437678791269,4.122699596246801,1.4255560717644833,1.4255560717644833,,AT_Weststation
1930-07-28,-0.5677366834266742,3.8812987137842097,1.3034135807961587,1.3034135807961587,,AT_Weststation
1930-07-29,-0.8870217958633404,4.128823752711078,1.606000695835431,1.606000695835431,,AT_Weststation
1930-07-30,-0.5932810093321705,4.714637129376002,2.084862085767328,2.084862085767328,,AT_Weststation
1930-07-31,-0.1976291200296592,5.072815471192555,1.4857187004544437,1.4857187004544437,,AT_Weststation
1930-08-01,0.5172185744086784,5.129464254182729,1.3983165778658455,1.3983165778658455,,AT_Weststation
1930-08-02,-0.22968905856679173,4.388027242749489,1.17580205575055,1.17580205575055,,AT_Weststation
1930-08-03,0.0333042083400221,4.025867296381749,1.1963180463686087,1.1963180463686087,,AT_Weststation
1930-08-04,-0.21930658854474797,4.473747225635932,0.9454563910173114,0.9454563910173114,,AT_Weststation
1930-08-05,-0.4386997539470931,3.833360425065596,1.176505724762054,1.176505724762054,,AT_Weststation
1930-08-06,-0.5862409724691088,3.342417540516958,1.9498998095425293,1.9498998095425293,,AT_Weststation
1930-08-07,-0.8079404139325875,2.9178342250140132,1.7110218498194207,1.7110218498194207,1.1,AT_Weststation
1930-08-08,-1.2231658804602283,2.213697793543652,1.4304130952229999,1.4304130952229999,0.1,AT_Weststation
1930-08-09,-1.7569323499297063,2.1747736295285898,1.2717289411804282,1.2717289411804282,0.5,AT_Weststation
1930-08-10,-2.2853314922409655,1.6548145175182443,1.3213426877773233,1.3213426877773233,0.8,AT_Weststation
1930-08-11,-2.9877155841184093,2.1650351104734122,1.3075741378572308,1.3075741378572308,0.6,AT_Weststation
1930-08-12,-2.2555382595825586,2.4641134410709866,1.671804279962782,1.671804279962782,2.9,AT_Weststation
1930-08-13,-2.5052672522625272,1.2146882603126672,1.634384267435759,1.634384267435759,2.0,AT_Weststation
